,Album,Title,Lyrics
36,Black Masses,Patterns of Evil,"Rituals of Evil, in dungeons dressed in black
Screaming virgins tortured, dragged to the Devil's altar

Whipped, tortured, our ritual has begun
Witches sabbat, all good will be undone
Patterns of Evil, whip marks across my flesh
Evil witchcraft, disciples of death

Narcotic chanting, female screams fill the crypts
Naked witches writhing, they offer obscene kiss

Whipped, tortured, our ritual has begun
Witches sabbat, all good will be undone
Patterns of Evil, whip marks across my flesh
Evil witchcraft, disciples of death

Whipped, tortured, our ritual has begun
Witches sabbat, all good will be undone
Patterns of Evil, whip marks across my flesh
Evil witchcraft, disciples of death

Whipped, tortured, our ritual has begun
Witches sabbat, all good will be undone
Patterns of Evil, whip marks across my flesh
Evil witchcraft, disciples of death

Patterns of Evil casting shadows
Patterns of Evil forever in my mind
Patterns of Evil casting shadows
Patterns of Evil forever in my mind"
37,Let Us Pray,Priestess of Mars,"Eye the backstreet sorceress
Perfect in thy nakedness
Enchanted flesh beneath the moon
High priestess, I'll live for you

I have searched three worlds to find
Climbed black mountains in my mind
The real empire you are
My priestess of mars

Lost like unfamiliar stain
Bruises locked within my present state
With eyes that holds no face
The stars reached out and they drugged me
Reach out in space

You are my priestess of mars"
38,Witchcult Today,Raptus,[instrumental]
39,Come My Fanatics....,Return to the Son of Nothingness,"Dying sun fades in our sky
The time has come for us to say goodbye
Construct the pods, we must evacuate
To the stars again, is this to be our fate?

Oh baby, just maybe, we'll take you
To the sun of nothingness

We left the war pigs far behind
Plot apocalyptic course to find
Will we ever reach our journey's end
To find a world and start again

Oh baby, just maybe, we'll return"
40,Come My Fanatics....,Return Trip,"[Sample]
""Get off my case, motherfucker!""

[Verse 1]
The sun burns in the stranger's eyes
Just one tear before he dies
Black mass can't ease the pain
There's nothing here, there's nothing sane

[Verse 2]
I hope this fucking world fucking burns away
And I'd kill you all if I had my way
But I'll live forever, questions curse me why
Oh Lord above, why won't you let me die"
41,Time to Die,Sadiowitch,"Enslaved to the black drug
Her web surrounding me
It knows my weakness
Forever my Priestess
The black drug took my soul away
Her venom my blood
My tortured mind is numb
Now I am a slave
Forever in her chains...
The night is in my veins
For an hour I'll rule eternally
But I walk amongst the dead
My obsessions killing all around me.....
The black drug took my soul away
Her venom my blood
My tortured mind is numb
Now I am a slave
Forever in her chains...
There's nothing here to find
The night is in my veins
Sadiowitch
Sadiowitch
Sadiowitch
Sadiowitch
The black drug took my soul away
Her venom my blood
My tortured mind is numb
Now I am a slave
Forever in her chains...
There's nothing here to find"
42,Witchcult Today,Satanic Rites of Drugula,"Under saturns rays I rest in eternal sleep dopesmoke violates my tomb and awakens me
Clawing from the grave my batwings spread
Their blood filled with drugs, so high, so dead

Your dope laced blood shows me new highs
Bloodlust, druglust, count drugula arise...

Strung out on blood I hunt the streets at night
Terror from the sky, in batform I strike
Your naked body dragged to my darkened crypt
I tie you up, dope you up then your blood I sip

Drugula....."
43,Time to Die,Saturn Dethroned,(instrumental)
44,Witchcult Today,Saturnine,"A black sun rises everyday
Shadows cross my path as if to say
""Change your life, change your ways, look up to the sky""
Tomorrow'll soon be here then time to die

I hear a death bell tolling out my life
Every strike another plunging of the knife
Mistakes I've made lead me to an early grave
I know its too late I can't be saved

Saturnine for all time the only way I've ever been
Saturnine in my mind high I sail the astral sea
Saturnine for all time I'll never find a way to be free
Saturnine in my mind load another hit of weed

As I invoke these words from blackened page
Through the black arts I will find a way
To bring you back through space and time to me
My priestess of mars set me free..."
45,We Live,Saturn's Children,"Crucified by the sun
In the shadow of the iron cross
Saturn's children come
Invoke the supercoven

Many armed we strike
Like wolves in the night
And the cross turns to black....

And the children of the sun
Know their time has come
Give up the fight, slip back into the night....

Turn off your mind, there's nothing to find....
Find out here...."
46,Black Masses,Satyr IX,"I hear the night calling, it knows my name
I hear the night screaming, summoned again
My need, my lust for vengeance, black wings of hate
My wrath at last has reason, legions awake

And when the night calls we rise, we kill
Our covens grow in darkness, nurtured by weed and pills

Rise, rise, legions of Hatred, rise, rise, legions of Hatred
Rise, rise, legions of Hatred, oh right now"
